,bill_tot,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,Target
0,7704.0,1,20000.0,2,2,1,8,2,2,-1,-1,-2,-2,0.0,689.0,0.0,0.0,0.0,0.0,1
1,17077.0,2,120000.0,2,2,2,8,-1,2,0,0,0,2,0.0,1000.0,1000.0,1000.0,0.0,2000.0,1
2,101653.0,3,90000.0,2,2,2,6,0,0,0,0,0,0,1518.0,1500.0,1000.0,1000.0,1000.0,5000.0,0
3,231334.0,4,50000.0,2,2,1,6,0,0,0,0,0,0,2000.0,2019.0,1200.0,1100.0,1069.0,1000.0,0
4,109339.0,5,50000.0,1,2,1,3,-1,0,-1,0,0,0,2000.0,36681.0,10000.0,9000.0,689.0,679.0,0
5,238114.0,6,50000.0,1,1,2,6,0,0,0,0,0,0,2500.0,1815.0,657.0,1000.0,1000.0,800.0,0
6,2724595.0,7,500000.0,1,1,2,7,0,0,0,0,0,0,55000.0,40000.0,38000.0,20239.0,13750.0,13770.0,0
7,13486.0,8,100000.0,2,2,2,8,0,-1,-1,0,0,-1,380.0,601.0,0.0,581.0,1687.0,1542.0,0
8,65212.0,9,140000.0,2,3,1,7,0,0,2,0,0,0,3329.0,0.0,432.0,1000.0,1000.0,1000.0,0
9,26919.0,10,20000.0,1,3,2,6,-2,-2,-2,-2,-1,-1,0.0,0.0,0.0,13007.0,1122.0,0.0,0
10,34467.0,11,200000.0,2,3,2,6,0,0,2,0,0,-1,2306.0,12.0,50.0,300.0,3738.0,66.0,0
11,88369.0,12,260000.0,2,1,2,3,-1,-1,-1,-1,-1,2,21818.0,9966.0,8583.0,22301.0,0.0,3640.0,0
12,41007.0,13,630000.0,2,2,2,5,-1,0,-1,-1,-1,-1,1000.0,6500.0,6500.0,6500.0,2870.0,0.0,0
13,338685.0,14,70000.0,1,2,2,7,1,2,2,0,0,2,3200.0,0.0,3000.0,3000.0,1500.0,0.0,1
14,373591.0,15,250000.0,1,1,2,7,0,0,0,0,0,0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,0
15,196416.0,16,50000.0,2,3,3,8,1,2,0,0,0,0,0.0,1500.0,1100.0,1200.0,1300.0,1100.0,0
16,106161.0,17,20000.0,1,1,2,8,0,0,2,2,2,2,3200.0,0.0,1500.0,0.0,1650.0,0.0,1
17,966014.0,18,320000.0,1,1,1,3,0,0,0,-1,-1,-1,10358.0,10000.0,75940.0,20000.0,195599.0,50000.0,0
18,0.0,19,360000.0,2,1,1,3,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0
19,0.0,20,180000.0,2,1,2,7,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0
20,123883.0,21,130000.0,2,3,2,5,0,0,0,0,0,-1,3000.0,1537.0,1000.0,2000.0,930.0,33764.0,0
21,1896.0,22,120000.0,2,2,1,5,-1,-1,-1,-1,-1,-1,316.0,316.0,0.0,632.0,316.0,0.0,1
22,265475.0,23,70000.0,2,2,2,8,2,0,0,2,2,2,2007.0,3582.0,0.0,3601.0,0.0,1820.0,1
23,26965.0,24,450000.0,2,1,1,5,-2,-2,-2,-2,-2,-2,19428.0,1473.0,560.0,0.0,0.0,1128.0,1
24,31864.0,25,90000.0,1,1,2,8,0,0,0,-1,0,0,5757.0,0.0,5398.0,1200.0,2045.0,2000.0,0
25,214295.0,26,50000.0,1,3,2,8,0,0,0,0,0,0,1973.0,1426.0,1001.0,1432.0,1062.0,997.0,0
26,-394.0,27,60000.0,1,1,2,8,1,-2,-1,-1,-1,-1,0.0,1000.0,0.0,500.0,0.0,1000.0,1
27,112268.0,28,50000.0,2,3,2,7,0,0,0,0,0,0,1300.0,1300.0,1000.0,1500.0,1000.0,1012.0,0
28,40208.0,29,50000.0,2,3,1,4,-1,-1,-1,-1,-1,-1,3415.0,3421.0,2044.0,30430.0,257.0,0.0,0
29,97082.0,30,50000.0,1,1,2,8,0,0,0,0,0,0,1500.0,1500.0,1000.0,1000.0,1600.0,0.0,0
30,113746.0,31,230000.0,2,1,2,8,-1,-1,-1,-1,-1,-1,17270.0,13281.0,15339.0,14307.0,37292.0,0.0,0
31,151869.0,32,50000.0,1,2,2,6,2,0,0,0,0,0,1718.0,1500.0,1000.0,1000.0,1000.0,716.0,1
32,495237.0,33,100000.0,1,1,2,7,0,0,0,0,0,0,3023.0,3511.0,3302.0,3204.0,3200.0,2504.0,0
33,125744.0,34,500000.0,2,2,1,3,-2,-2,-2,-2,-2,-2,4152.0,22827.0,7521.0,71439.0,981.0,51582.0,0
34,58318.0,35,500000.0,1,1,1,3,-2,-2,-2,-2,-2,-2,5006.0,31178.0,3180.0,0.0,5293.0,768.0,0
35,25312.0,36,160000.0,1,1,2,7,-1,-1,-2,-2,-2,-1,131.0,396.0,396.0,565.0,792.0,0.0,0
36,1069977.0,37,280000.0,1,2,1,5,0,0,0,0,0,0,8026.0,8060.0,6300.0,6400.0,6400.0,6737.0,0
37,32279.0,38,60000.0,2,2,2,8,0,0,0,0,0,-1,1500.0,1518.0,2043.0,0.0,47671.0,617.0,0
38,780.0,39,50000.0,1,1,2,8,1,-1,-1,-2,-2,-2,780.0,0.0,0.0,0.0,0.0,0.0,1
39,51643.0,40,280000.0,1,1,2,7,-1,-1,2,-1,0,-1,9075.0,0.0,9976.0,8000.0,9525.0,781.0,0
40,1650751.0,41,360000.0,1,1,2,6,0,0,0,0,0,0,10000.0,7000.0,6000.0,188840.0,28000.0,4000.0,0
41,392856.0,42,70000.0,2,1,2,8,0,0,0,0,0,0,3000.0,4500.0,4042.0,2500.0,2800.0,2500.0,0
42,22761.0,43,10000.0,1,2,2,8,0,0,0,0,0,0,1500.0,2927.0,1000.0,300.0,1000.0,500.0,0
43,385134.0,44,140000.0,2,2,1,6,0,0,0,0,0,0,3000.0,3000.0,3000.0,4000.0,4000.0,3000.0,0
44,147185.0,45,40000.0,2,1,2,7,0,0,0,2,0,0,3000.0,5000.0,0.0,2000.0,3000.0,0.0,0
45,0.0,46,210000.0,1,1,2,7,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,1
46,79328.0,47,20000.0,2,1,2,8,0,0,2,-1,0,0,3000.0,0.0,16741.0,334.0,0.0,0.0,1
47,9837.0,48,150000.0,2,5,2,4,0,0,-1,0,0,-2,1013.0,1170.0,0.0,0.0,0.0,0.0,1
48,114815.0,49,380000.0,1,2,2,7,-1,-1,-1,-1,-1,-1,21540.0,15138.0,24677.0,11851.0,11875.0,8251.0,0
49,115810.0,50,20000.0,1,1,2,8,0,0,0,0,0,0,1318.0,1315.0,704.0,928.0,912.0,1069.0,0
50,229012.0,51,70000.0,1,3,2,5,1,2,2,2,2,0,0.0,3100.0,2000.0,0.0,1500.0,1500.0,1
51,265185.0,52,100000.0,2,3,3,4,0,0,0,0,0,0,2000.0,1606.0,1500.0,2000.0,1500.0,1000.0,0
52,44125.0,53,310000.0,2,2,1,3,-2,-2,-2,-2,-2,-2,7875.0,7600.0,11185.0,3544.0,464.0,0.0,0
53,259151.0,54,180000.0,2,1,2,8,1,2,0,0,0,0,1300.0,2010.0,1762.0,1762.0,1790.0,1622.0,0
54,176751.0,55,150000.0,2,1,2,7,2,0,0,0,0,0,1600.0,1718.0,1049.0,1500.0,2000.0,5000.0,0
55,8388.0,56,500000.0,2,1,1,4,-2,-2,-2,-2,-2,-2,3640.0,162.0,0.0,151.0,2530.0,0.0,0
56,55404.0,57,180000.0,2,3,1,6,0,0,0,-1,-1,-1,8500.0,1500.0,7500.0,679.0,9000.0,2000.0,0
57,952362.0,58,180000.0,2,2,1,6,0,0,0,0,0,0,8083.0,7296.0,5253.0,4814.0,4816.0,3800.0,0
58,6747.0,59,200000.0,2,1,2,6,-1,3,2,2,2,2,0.0,0.0,700.0,0.0,1200.0,0.0,0
59,2284140.0,60,400000.0,2,2,1,7,0,0,0,0,0,0,17000.0,15029.0,30000.0,12000.0,12000.0,23000.0,0
60,109699.0,61,500000.0,2,3,1,7,0,0,0,0,0,0,1516.0,1300.0,1000.0,1000.0,2000.0,2000.0,1
61,244242.0,62,70000.0,1,2,1,5,0,0,0,0,0,-1,4025.0,2095.0,1000.0,2000.0,3000.0,0.0,0
62,157674.0,63,50000.0,1,1,2,7,2,2,2,2,2,2,0.0,2700.0,0.0,2225.0,1200.0,0.0,1
63,57884.0,64,50000.0,2,2,1,4,0,0,0,-2,-2,-2,1000.0,0.0,0.0,0.0,0.0,0.0,1
64,2452.0,65,130000.0,2,2,1,3,-1,-1,-2,-2,-1,-1,0.0,0.0,0.0,2353.0,0.0,0.0,0
65,469636.0,66,200000.0,1,1,1,3,-2,-2,-2,-1,2,2,0.0,0.0,8222.0,300.0,0.0,1000.0,1
66,22852.0,67,10000.0,1,2,1,3,2,2,2,0,0,0,2300.0,0.0,150.0,200.0,200.0,160.0,1
67,8589.0,68,210000.0,2,1,2,7,2,-1,-1,-1,-1,-1,300.0,1159.0,2280.0,300.0,4250.0,909.0,0
